"","gen","FTmean","FTvar","FTh2","IBmean","pA","pB","pC","FisA","FisB","FisC"
"1",1,99.4608,11.920431532613,0.830503489484282,0,0.4906,0.503,0.5084,1,1,1
"2",2,99.3832,12.2004379351741,0.819357542856654,0.0162,0.4916,0.5124,0.5058,1,1,1
"3",3,99.3868,12.3877408563425,0.81345086923316,0.01415,0.491,0.5222,0.5044,1,1,1
"4",4,99.4372,11.8868108843537,0.818979384456974,0.0162375,0.494,0.5242,0.4944,1,1,1
"5",5,99.4784,12.3808857943177,0.797667069547523,0.0216875,0.487,0.535,0.4904,1,1,1
"6",6,99.5044,11.8307129251701,0.822414821744542,0.0236609375,0.4794,0.5296,0.4788,1,1,1
"7",7,99.4668,13.0221066026411,0.812950246295858,0.0243275390625,0.4862,0.5258,0.4732,1,1,1
"8",8,99.5532,12.3817224489796,0.825745718647028,0.023609716796875,0.4816,0.5348,0.4788,1,1,1
"9",9,99.5928,13.0233975190076,0.784641982006811,0.0238884033203125,0.4844,0.526,0.4752,1,1,1
"10",10,99.5172,11.9512846738695,0.849252623539035,0.0254285858154297,0.489,0.522,0.4776,1,1,1
"11",11,99.4728,13.1849341336535,0.783620812268349,0.0244681709289551,0.4916,0.52,0.4768,1,1,1
"12",12,99.4508,12.7302714685874,0.797324450442952,0.028610862159729,0.4888,0.5266,0.4742,1,1,1
"13",13,99.4472,12.5418288915566,0.793089346247332,0.0266684281349182,0.4998,0.5252,0.4678,1,1,1
"14",14,99.4168,12.1551398159264,0.815759800375132,0.0258762908101082,0.5134,0.524,0.4628,1,1,1
"15",15,99.3828,12.5836976390556,0.787672881155927,0.0283651599943638,0.5172,0.5182,0.457,1,1,1
"16",16,99.2924,12.4414788315326,0.800468875242208,0.0301584100164473,0.5238,0.5084,0.4558,1,1,1
"17",17,99.4492,12.1218681072429,0.824120508791528,0.0292467535622418,0.523,0.5148,0.464,1,1,1
"18",18,99.4908,12.5421322128852,0.808168605700698,0.0300636886517983,0.529,0.5202,0.4558,1,1,1
"19",19,99.5292,12.1372022408964,0.80886868375981,0.03177864836402,0.5264,0.5096,0.4562,1,1,1
"20",20,99.6252,12.4176920368147,0.825489651387555,0.0306879404159437,0.5228,0.5178,0.4448,1,1,1
"21",21,99.6616,12.5569082032813,0.822838408569797,0.0297037753837722,0.5294,0.516,0.4502,1,1,1
"22",22,99.5568,12.6726428171269,0.821382660731395,0.0326027155772204,0.5392,0.5126,0.4518,1,1,1
"23",23,99.4916,12.9663159663866,0.811127879608615,0.032535348351538,0.5384,0.5086,0.4498,1,1,1
"24",24,99.42,12.7318927571028,0.83177551623346,0.0307329122479852,0.5332,0.5096,0.4562,1,1,1
"25",25,99.372,13.0324289715886,0.815897745151381,0.0322961281037942,0.5456,0.5114,0.4594,1,1,1
"26",26,99.3628,12.8203042817127,0.825971247515024,0.031287169834129,0.5512,0.5094,0.4544,1,1,1
