"","gen","FTmean","FTvar","FTh2","IBmean","pA","pB","pC","FisA","FisB","FisC"
"1",1,99.5184,11.8808137655062,0.847818800102132,0,0.5046,0.5042,0.4966,1,1,1
"2",2,99.4984,12.3909538215286,0.787675331539549,0,0.502,0.508,0.4954,1,1,1
"3",3,99.5872,11.931168627451,0.789766768908002,4e-04,0.5084,0.4898,0.5042,1,1,1
"4",4,99.6084,12.3511899159664,0.825584926785668,0.000325,0.5178,0.4924,0.5032,1,1,1
"5",5,99.5328,12.2842378551421,0.802221141134855,0.000990625,0.5222,0.4916,0.4974,1,1,1
"6",6,99.56,12.2040816326531,0.80514441602728,0.00113359375,0.5174,0.5046,0.5028,1,1,1
"7",7,99.4084,12.6666761104442,0.800594032538726,0.0010490234375,0.5244,0.504,0.4998,1,1,1
"8",8,99.3216,12.1142191276511,0.774778266314661,0.001407568359375,0.5246,0.499,0.505,1,1,1
"9",9,99.2176,12.2735596638655,0.822780205037453,0.00173253173828125,0.5178,0.4978,0.5036,1,1,1
"10",10,99.1704,12.199843777511,0.797884566749154,0.00225367736816406,0.5054,0.5028,0.491,1,1,1
"11",11,99.0164,12.3698789915966,0.80132334001274,0.00202230224609375,0.508,0.4968,0.4878,1,1,1
"12",12,98.9836,12.2562335334134,0.79667628995845,0.00263488464355469,0.4942,0.5036,0.4874,1,1,1
"13",13,99.008,11.6557983193277,0.822848573735643,0.00248434205055237,0.5156,0.4902,0.4848,1,1,1
"14",14,98.9824,12.2774012004802,0.811537802453367,0.00285018540620804,0.522,0.4806,0.4818,1,1,1
"15",15,98.9504,11.8702879551821,0.828561050956785,0.00270042801201344,0.534,0.482,0.4786,1,1,1
"16",16,98.982,12.1569387755102,0.797522016814246,0.00319594708904624,0.5492,0.4882,0.4878,1,1,1
"17",17,99.044,12.0220728291317,0.80443942647844,0.00300130791328847,0.56,0.4956,0.488,1,1,1
"18",18,99.0952,12.2462354541817,0.80979912834619,0.00340092108012177,0.5682,0.4954,0.481,1,1,1
"19",19,99.1396,12.517118687475,0.811730595911937,0.00354844617649214,0.5636,0.5032,0.473,1,1,1
"20",20,99.1884,11.8080286514606,0.833035583971129,0.00384763317996694,0.5712,0.5012,0.4672,1,1,1
"21",21,99.2204,12.6088673869548,0.802334590547562,0.00380639646529962,0.577,0.5038,0.4694,1,1,1
"22",22,99.2172,12.5278352941176,0.827892432851984,0.00408942789676694,0.567,0.5086,0.4694,1,1,1
"23",23,99.1988,12.2081618247299,0.7868560856649,0.00458266877195083,0.5622,0.5106,0.4566,1,1,1
"24",24,99.2428,12.535262264906,0.808976871851515,0.00437678149297843,0.5586,0.5062,0.4436,1,1,1
