"","gen","FTmean","FTvar","FTh2","IBmean","pA","pB","pC","FisA","FisB","FisC"
"51",51,100.0252,28.9529461384554,0.926816140049809,0.0104877368909196,0.544,0.4614,0.4642,1,1,1
"52",52,99.9472,28.9255823929572,0.92267393720291,0.0111235950740118,0.549,0.4608,0.4696,1,1,1
"53",53,99.9076,29.7301543017207,0.9205645343279,0.010977849064698,0.5456,0.4562,0.4738,1,1,1
"54",54,99.9524,30.2302263305322,0.933002142888091,0.0109714563502785,0.5352,0.4582,0.4756,1,1,1
"55",55,99.7348,30.6063114845938,0.909308607376559,0.0116884155846418,0.534,0.4694,0.4842,1,1,1
"56",56,99.776,30.846162464986,0.925116915761081,0.0113190197295524,0.5376,0.4696,0.4802,1,1,1
"57",57,99.604,29.4725730292117,0.914441902157119,0.0113561503691911,0.5376,0.4682,0.4872,1,1,1
"58",58,99.678,28.600156062425,0.926962092316423,0.0115315800232785,0.545,0.4618,0.4856,1,1,1
"59",59,99.6344,29.2500366546619,0.929247411524433,0.0130706638413292,0.5498,0.4614,0.4902,1,1,1
"60",60,99.6244,29.6535860744298,0.943050682087437,0.0123214296208806,0.5568,0.465,0.485,1,1,1
"61",61,99.748,30.8568387354942,0.910580610556905,0.0126031304434463,0.5628,0.487,0.4828,1,1,1
"62",62,99.5716,30.4754636254502,0.923485785446175,0.0126303568335565,0.567,0.4822,0.4814,1,1,1
"63",63,99.58,30.8415366146459,0.913798315882345,0.0132873097135556,0.5732,0.4728,0.4832,1,1,1
"64",64,99.6068,30.67166242497,0.92162982938251,0.0132955011144157,0.5644,0.4836,0.4734,1,1,1
"65",65,99.7188,29.8356608243297,0.91380056698052,0.0132202271791357,0.582,0.4828,0.48,1,1,1
"66",66,99.7112,30.3223234893958,0.93479020413124,0.012991778621768,0.5908,0.4812,0.4928,1,1,1
"67",67,99.6932,30.3680209683874,0.929759755332439,0.0135146048626365,0.588,0.4722,0.4884,1,1,1
"68",68,99.6592,30.2567580632253,0.923918611979184,0.0147901366269273,0.5888,0.4684,0.4804,1,1,1
"69",69,99.612,30.1551180472189,0.926419903808028,0.0139107128127033,0.5848,0.4716,0.482,1,1,1
"70",70,99.7556,28.7681759103641,0.927974327418477,0.014357943453907,0.593,0.47,0.4804,1,1,1
"71",71,99.632,30.0718047218888,0.913490325410276,0.0154089605419726,0.6052,0.4682,0.489,1,1,1
"72",72,99.6368,30.1809581432573,0.90591928311243,0.0150444703655878,0.6064,0.4676,0.5012,1,1,1
"73",73,99.5472,29.5611966386555,0.935205001661869,0.0151000075318618,0.6114,0.4666,0.508,1,1,1
"74",74,99.7044,29.5032219287715,0.91528533974347,0.0151510599251424,0.618,0.4678,0.5128,1,1,1
"75",75,99.738,29.1610204081633,0.905793041877152,0.0155061887086393,0.6218,0.4618,0.5136,1,1,1
"76",76,99.644,29.2657703081233,0.910627479313643,0.0156164194016492,0.6214,0.4578,0.5226,1,1,1
"77",77,99.676,29.4540056022409,0.900435869246834,0.0158187703301179,0.6314,0.464,0.5192,1,1,1
"78",78,99.8268,29.3069245298119,0.917630158693947,0.0162630968275287,0.633,0.4642,0.5252,1,1,1
"79",79,99.6896,29.6194996398559,0.917445405896802,0.0163189641575719,0.6452,0.4688,0.5336,1,1,1
"80",80,99.7304,29.7896316926771,0.922074990154786,0.0162388428386324,0.6462,0.4706,0.5362,1,1,1
"81",81,99.7676,29.6118349739896,0.932152069520412,0.0169693782329653,0.643,0.4658,0.5286,1,1,1
"82",82,99.8372,30.1715647859144,0.920053969495756,0.0170271898416055,0.6388,0.4654,0.543,1,1,1
"83",83,99.8256,29.0371995198079,0.925531915831894,0.017364161189002,0.6394,0.4656,0.5422,1,1,1
"84",84,99.68,29.0260104041617,0.913589301863902,0.0174648060420116,0.645,0.4638,0.5464,1,1,1
"85",85,99.7724,28.8121230892357,0.926065119125109,0.0173903320483056,0.6468,0.4584,0.5528,1,1,1
