"","gen","FTmean","FTvar","FTh2","IBmean","pA","pB","pC","FisA","FisB","FisC"
"1",1,99.518,11.9528571428571,0.807862286781571,0,0.5018,0.5036,0.4906,1,1,1
"2",2,99.6652,14.7702170468187,0.831213556506339,0,0.495,0.5128,0.4936,1,1,1
"3",3,99.6092,16.3406116046419,0.854043812860185,3e-04,0.5054,0.513,0.4826,1,1,1
"4",4,99.6728,17.8608845138055,0.874318681694088,0.000375,0.5094,0.5338,0.4788,1,1,1
"5",5,99.66,18.8311324529812,0.88320108799592,0.000634375,0.5094,0.5386,0.4822,1,1,1
"6",6,99.7348,20.1613334933974,0.89348622279291,0.00078984375,0.506,0.5294,0.4882,1,1,1
"7",7,99.8296,21.2650698679472,0.888701574826122,0.000975390625,0.507,0.5358,0.4854,1,1,1
"8",8,99.7632,21.3348597038816,0.905922697487671,0.00145673828125,0.4926,0.5382,0.4926,1,1,1
"9",9,99.6952,21.4580801920768,0.908114283347743,0.0015262939453125,0.496,0.5386,0.4946,1,1,1
"10",10,99.604,22.5418007202881,0.896947707837611,0.00186198120117187,0.4964,0.5466,0.488,1,1,1
"11",11,99.664,23.3884593837535,0.89326027892258,0.00162421722412109,0.5056,0.552,0.4804,1,1,1
"12",12,99.8304,24.4842295318127,0.909604290188206,0.0019953727722168,0.5088,0.5442,0.4804,1,1,1
"13",13,99.872,25.7747258903561,0.901579083337267,0.00240624151229858,0.517,0.5458,0.4716,1,1,1
"14",14,99.8952,26.4243867146859,0.913924104061029,0.00254685139656067,0.5182,0.5482,0.4722,1,1,1
"15",15,99.868,26.9701640656262,0.922944353014699,0.00244599378108978,0.5022,0.5526,0.4826,1,1,1
"16",16,99.8428,26.6487476590636,0.915126599686124,0.00286777674779296,0.4984,0.5562,0.4732,1,1,1
"17",17,99.8864,26.668162304922,0.914769222067161,0.00326101767681539,0.4888,0.5512,0.4666,1,1,1
"18",18,99.8952,26.3427540616246,0.934117753828503,0.00318031767695211,0.4914,0.5506,0.4748,1,1,1
"19",19,99.7324,27.0484096038415,0.919431050597947,0.00356290034854319,0.4988,0.5494,0.4868,1,1,1
"20",20,99.6784,28.1470322529012,0.917209546594927,0.00359614890217781,0.5076,0.5486,0.4824,1,1,1
"21",21,99.736,27.92787515006,0.917111704877481,0.00370319884890996,0.5116,0.55,0.4784,1,1,1
"22",22,99.8716,27.3972723489396,0.924278304761855,0.00411742903759696,0.5198,0.5444,0.4688,1,1,1
"23",23,99.8776,27.4167849539816,0.91923578925407,0.00418734122014848,0.5234,0.5376,0.464,1,1,1
"24",24,99.8772,28.246218647459,0.895508756416473,0.00430368968013474,0.5314,0.5314,0.4728,1,1,1
"25",25,99.8224,28.5846921168467,0.897658265800911,0.00466335061375821,0.5286,0.5296,0.4778,1,1,1
"26",26,99.9024,28.1641398959584,0.919948129601704,0.0047260249976239,0.525,0.5294,0.4736,1,1,1
"27",27,99.9984,27.5598213685474,0.919611283039729,0.0050154912611823,0.5168,0.527,0.463,1,1,1
"28",28,100.1368,27.9060481792717,0.913902428543231,0.00518612518409088,0.518,0.5264,0.4578,1,1,1
"29",29,100.2584,27.6370842737095,0.913836738458207,0.00529198947709892,0.5106,0.5226,0.4724,1,1,1
"30",30,100.3032,29.1677368547419,0.921498994245787,0.00548163334521707,0.513,0.524,0.459,1,1,1
"31",31,100.3,28.6574629851941,0.926219613209523,0.00583702070636996,0.514,0.5336,0.458,1,1,1
"32",32,100.3904,28.4965864745898,0.919362666207365,0.00615526246876148,0.5202,0.5406,0.4598,1,1,1
"33",33,100.4388,28.8193823129252,0.915802146426832,0.00604142950423906,0.515,0.539,0.4678,1,1,1
"34",34,100.3968,28.4427268507403,0.926699843039742,0.00630806395283658,0.518,0.536,0.4616,1,1,1
"35",35,100.5568,28.9999737494998,0.91882245139094,0.00672304880421512,0.5244,0.5456,0.47,1,1,1
"36",36,100.6584,27.9833027611044,0.927014614168477,0.0069152069939964,0.5176,0.5432,0.473,1,1,1
"37",37,100.6396,29.0805440576231,0.916039716469827,0.00717178284979411,0.5092,0.539,0.4636,1,1,1
"38",38,100.5372,29.3803683073229,0.909213699907609,0.00708943018959161,0.5182,0.5382,0.4666,1,1,1
"39",39,100.6716,29.6404096038415,0.920306848433165,0.00735079453026335,0.5222,0.548,0.4692,1,1,1
"40",40,100.8068,29.3700217687075,0.927123175650911,0.00733705860652647,0.5266,0.5666,0.4742,1,1,1
"41",41,100.8752,30.1044667466987,0.915271700323615,0.0072968517827714,0.5322,0.568,0.4762,1,1,1
"42",42,101.0348,29.7030701880752,0.924705220696558,0.00789760983789152,0.536,0.549,0.4656,1,1,1
"43",43,101.0516,30.9485168467387,0.909350312221783,0.00817946274922099,0.5482,0.5386,0.4716,1,1,1
"44",44,101.0128,30.7185235694278,0.920603531240476,0.00811310384912741,0.5434,0.5466,0.4662,1,1,1
"45",45,101.0908,30.3995151660664,0.916509614938732,0.0084457505718877,0.5308,0.5526,0.4768,1,1,1
"46",46,101.0132,30.3251558223289,0.936771445543746,0.00841882166306733,0.54,0.5584,0.4736,1,1,1
"47",47,101.1184,30.2076645058023,0.928916964084133,0.00867066092333169,0.5386,0.5646,0.47,1,1,1
"48",48,101.2148,29.7029421368547,0.923905819228091,0.00892755184900784,0.5394,0.5634,0.4702,1,1,1
"49",49,101.4248,29.3648909163665,0.925707144397246,0.00922241033311155,0.545,0.5562,0.473,1,1,1
"50",50,101.4948,29.4993727090836,0.919380780397737,0.0093245532556776,0.5504,0.5624,0.4758,1,1,1
"51",51,101.5688,28.8127916766707,0.921288461558546,0.00950347762812432,0.5374,0.5672,0.4776,1,1,1
"52",52,101.4204,27.6099078031212,0.928105452039507,0.0095787714810462,0.5484,0.5618,0.4826,1,1,1
"53",53,101.4324,27.550050260104,0.926272407477483,0.00969297703814379,0.5458,0.549,0.491,1,1,1
"54",54,101.3024,28.3919110044018,0.923458644900657,0.0100475904772833,0.5378,0.552,0.4894,1,1,1
"55",55,101.3164,28.193968627451,0.912618507703727,0.0104194658822572,0.5368,0.5624,0.487,1,1,1
"56",56,101.2976,27.9194020008003,0.925078410120152,0.0109246304484066,0.5364,0.5618,0.485,1,1,1
"57",57,101.3656,28.1559990396158,0.917297104969464,0.0108253764440424,0.5382,0.5462,0.4798,1,1,1
"58",58,101.2348,28.6663354941977,0.919126729798174,0.0106713963224069,0.5468,0.5496,0.4896,1,1,1
"59",59,101.348,28.1893717486995,0.918066651487027,0.0110414093451387,0.5456,0.5618,0.487,1,1,1
"60",60,101.3712,27.6228597038816,0.92454591141451,0.0111829224462157,0.5356,0.5678,0.475,1,1,1
"61",61,101.308,28.1892116846739,0.928748700401619,0.0111386442663206,0.537,0.5562,0.4728,1,1,1
"62",62,101.2312,28.5275575830332,0.927101331323779,0.0116460712588911,0.5406,0.5496,0.4712,1,1,1
"63",63,101.16,29.6110444177671,0.918011297602638,0.0116393125342893,0.5326,0.551,0.4752,1,1,1
"64",64,101.0912,28.8856368147259,0.917528963386049,0.0118566717635398,0.5354,0.5524,0.4686,1,1,1
"65",65,101.1264,30.4057853541417,0.924424988854504,0.0121479975194654,0.5508,0.5474,0.4642,1,1,1
"66",66,101.2036,29.7804592236895,0.916457310574873,0.0124738445599745,0.553,0.5378,0.4642,1,1,1
"67",67,101.2424,30.6070850740296,0.90629998162723,0.0123278127324506,0.5512,0.5308,0.4658,1,1,1
"68",68,101.1772,29.1302522609044,0.920797560757467,0.012491349016499,0.569,0.5286,0.466,1,1,1
"69",69,101.3328,28.9080073629452,0.92689735843263,0.012563141795782,0.5694,0.5224,0.4682,1,1,1
"70",70,101.3912,29.3891182072829,0.912703548020616,0.0130183298029506,0.5668,0.5332,0.4768,1,1,1
"71",71,101.4104,27.9819646258503,0.924096149647045,0.0130487189680296,0.5788,0.5254,0.4798,1,1,1
"72",72,101.294,28.6326170468187,0.914391300088284,0.0134355707745484,0.5734,0.521,0.4816,1,1,1
"73",73,101.3336,28.9282823529412,0.91461575015967,0.0137648410404633,0.5748,0.5158,0.479,1,1,1
"74",74,101.3812,28.3704347338936,0.916539557259985,0.0137280970207238,0.5748,0.4992,0.4766,1,1,1
"75",75,101.2884,28.0668521808723,0.916498143838921,0.0139198881511095,0.5732,0.5164,0.4734,1,1,1
"76",76,101.2756,27.8451827130852,0.908168407679898,0.0141163472486826,0.5674,0.5132,0.4658,1,1,1
"77",77,101.2968,27.3148356942777,0.915960976278879,0.014214666155878,0.5752,0.5154,0.4642,1,1,1
"78",78,101.3232,27.7930589835934,0.888020728469053,0.0144358295910346,0.583,0.5148,0.4716,1,1,1
"79",79,101.348,26.885650260104,0.915442658457171,0.0146435545763606,0.5792,0.525,0.4546,1,1,1
"80",80,101.2404,27.4783991996799,0.909017086193307,0.014718589776478,0.5838,0.5222,0.4592,1,1,1
"81",81,101.2892,26.9787548619448,0.923595938911124,0.0147783413864297,0.5816,0.512,0.4608,1,1,1
"82",82,101.2916,27.3991290916367,0.902802394813868,0.0151964253780527,0.5836,0.5146,0.4666,1,1,1
"83",83,101.3944,27.9324216086435,0.903006400791107,0.0153383238355702,0.5832,0.5022,0.4684,1,1,1
"84",84,101.4432,27.1768444977991,0.937141837245152,0.0154630369145581,0.581,0.509,0.4628,1,1,1
"85",85,101.5464,26.8537885554222,0.913479604735663,0.0157546596498214,0.5776,0.512,0.4546,1,1,1
"86",86,101.3844,26.4288081632653,0.916095323461377,0.0159142257995721,0.5812,0.5024,0.4726,1,1,1
"87",87,101.3568,27.0491134053621,0.900139047827255,0.0160928889537551,0.5744,0.4968,0.4772,1,1,1
"88",88,101.3776,27.0362327330932,0.906144013851162,0.016450994655519,0.5802,0.4918,0.4758,1,1,1
"89",89,101.1748,27.4336184073629,0.911246892356659,0.0168068990948292,0.59,0.4818,0.4636,1,1,1
"90",90,101.2588,27.4916192076831,0.924971207784748,0.0165906109499738,0.5854,0.4804,0.4632,1,1,1
"91",91,101.068,28.0626010404162,0.909735816168162,0.0167657780342771,0.5854,0.4782,0.462,1,1,1
"92",92,100.9252,27.9707932773109,0.927653713173206,0.0171013993600434,0.5766,0.4806,0.4676,1,1,1
"93",93,101.06,27.9331732693077,0.924723925220256,0.0172107985342485,0.5738,0.4794,0.4694,1,1,1
"94",94,100.922,28.600156062425,0.907692369255058,0.0173662984787837,0.5744,0.481,0.475,1,1,1
"95",95,100.9988,28.72228747499,0.909971206318129,0.0176775279173116,0.5734,0.4828,0.4674,1,1,1
"96",96,101.0732,28.1559041216487,0.901467357671565,0.0174694954495375,0.5742,0.4762,0.4714,1,1,1
"97",97,100.8992,28.713324689876,0.901684372049945,0.0178096271704626,0.5746,0.47,0.4592,1,1,1
"98",98,101.0504,28.382412805122,0.919310564606669,0.0180717481013749,0.5746,0.4714,0.4692,1,1,1
"99",99,101.064,29.3796558623449,0.904041113727422,0.0184258830705408,0.5726,0.47,0.468,1,1,1
"100",100,101.018,29.5454941976791,0.913712977686895,0.0186480845056933,0.5774,0.4738,0.4704,1,1,1
"101",101,101.1496,29.3957781512605,0.917957321934615,0.0188544047744855,0.5706,0.4698,0.4812,1,1,1
"102",102,101.204,29.3661304521809,0.924313609851258,0.0191816411377145,0.568,0.4768,0.4834,1,1,1
"103",103,101.2148,29.7285523809524,0.908507475868177,0.0191656200247596,0.5688,0.4708,0.4862,1,1,1
"104",104,101.2468,29.6185371748699,0.919425415696996,0.0190686226451483,0.561,0.472,0.4832,1,1,1
"105",105,101.2372,29.2246260104042,0.916360610018189,0.019325248683442,0.5686,0.4878,0.4824,1,1,1
"106",106,101.2296,28.9164504201681,0.914502985250537,0.0195172487573875,0.5704,0.4788,0.4834,1,1,1
"107",107,101.1184,28.6998613845538,0.922708891589528,0.0196724353141337,0.5694,0.479,0.4826,1,1,1
"108",108,101.1828,29.0001842336935,0.913840913850275,0.0196951122383794,0.57,0.485,0.466,1,1,1
"109",109,101.142,28.1939135654262,0.929981175643045,0.0198688160032503,0.5652,0.4794,0.476,1,1,1
"110",110,101.2148,27.2971798319328,0.928188147035885,0.0205984865531627,0.575,0.4824,0.4732,1,1,1
"111",111,101.1352,27.6976,0.929033643380522,0.0205190665101872,0.5794,0.4884,0.476,1,1,1
"112",112,101.2036,27.6652131252501,0.941755061992322,0.0206624586807664,0.5756,0.4878,0.4754,1,1,1
"113",113,101.1736,29.0846969187675,0.923638455399573,0.0206200295389,0.5742,0.4922,0.469,1,1,1
"114",114,101.0572,29.5281394157663,0.928427915947117,0.0212333176713426,0.5764,0.4988,0.4592,1,1,1
"115",115,101.0628,29.4930533813525,0.93261532720253,0.021149239868341,0.5782,0.4934,0.4662,1,1,1
"116",116,100.9644,29.1716012805122,0.913210910627124,0.0213087599518202,0.5912,0.4904,0.4588,1,1,1
"117",117,101.0296,29.283637294918,0.900978807684681,0.0218012776256098,0.598,0.4866,0.4568,1,1,1
"118",118,101.0808,29.85341272509,0.917313610638266,0.0217234391983246,0.6088,0.4838,0.4568,1,1,1
"119",119,101.002,30.5126010404162,0.9199224613346,0.0220071510226604,0.6098,0.477,0.454,1,1,1
"120",120,101.0128,30.4576192076831,0.914353208595978,0.0222710558536833,0.6092,0.485,0.451,1,1,1
"121",121,101.1184,29.624231132453,0.92214994782939,0.0220003607969686,0.6004,0.4808,0.4522,1,1,1
"122",122,101.0784,28.726143897559,0.921926368197881,0.0223183210828883,0.5898,0.48,0.463,1,1,1
"123",123,101.0576,29.9830754701881,0.908553132047326,0.0226607459713553,0.5896,0.484,0.4632,1,1,1
"124",124,101.0096,29.4788993997599,0.934673521050921,0.0229310394448374,0.5938,0.4878,0.4722,1,1,1
"125",125,100.9296,30.8986032813125,0.904387726286888,0.0230739415486639,0.6126,0.4864,0.4768,1,1,1
"126",126,100.8156,30.6266472989196,0.907429283244564,0.0233690991301246,0.602,0.497,0.478,1,1,1
"127",127,100.8416,29.4658957983193,0.929823936988807,0.0235225080965804,0.5954,0.497,0.4836,1,1,1
"128",128,100.8756,28.9917213285314,0.936553067909787,0.0234818338106603,0.5908,0.5048,0.4814,1,1,1
"129",129,100.7744,29.3600486594638,0.933456849928623,0.0236712467998307,0.588,0.493,0.4844,1,1,1
"130",130,100.7656,30.3339902360944,0.910066045348864,0.0238125395090721,0.5846,0.4872,0.4904,1,1,1
"131",131,100.7236,29.7158893957583,0.921858542874698,0.0239941193100828,0.575,0.5048,0.494,1,1,1
"132",132,100.6688,29.4140721888756,0.919566147126112,0.0245279848673817,0.5826,0.5034,0.5064,1,1,1
"133",133,100.7564,30.2227481392557,0.931052705694301,0.024611985783483,0.5834,0.5148,0.5096,1,1,1
"134",134,100.7104,31.0365464585834,0.907267934044468,0.0245891329135896,0.586,0.5054,0.5124,1,1,1
"135",135,100.5288,30.5565931972789,0.928950301472508,0.0251281560078944,0.5774,0.5082,0.5248,1,1,1
"136",136,100.5804,29.8426729091637,0.930865812661764,0.0246697119855931,0.5918,0.5042,0.5268,1,1,1
"137",137,100.6844,31.9831899159664,0.907477011520743,0.0250105098163763,0.601,0.502,0.5216,1,1,1
"138",138,100.7488,31.3054207282913,0.930412122231991,0.0252774449144471,0.6024,0.507,0.5218,1,1,1
"139",139,100.5892,32.1781146058423,0.919423749076214,0.0256468834574268,0.6038,0.5012,0.5296,1,1,1
