"","gen","FTmean","FTvar","FTh2","IBmean","pA","pB","pC","FisA","FisB","FisC"
"1",1,99.71375,12.8648514696685,0.795990549269909,0,0.4940625,0.5034375,0.489375,1,1,1
"2",2,99.6175,11.4921263289556,0.814195188156668,0,0.4890625,0.5003125,0.4796875,1,1,1
"3",3,99.59875,12.3617245153221,0.775041456087281,0.00375,0.46875,0.494375,0.479375,1,1,1
"4",4,99.595,11.97095684803,0.796699824883656,0.00623046875,0.470625,0.49125,0.491875,1,1,1
"5",5,99.684375,12.5363410725453,0.813359035137838,0.0075732421875,0.48,0.4871875,0.491875,1,1,1
"6",6,99.675625,12.70459623202,0.785865274132992,0.00928955078125,0.4759375,0.4971875,0.47625,1,1,1
"7",7,99.668125,11.9404467636023,0.818948555767449,0.01010986328125,0.4865625,0.4990625,0.46375,1,1,1
"8",8,99.785,12.1251031894934,0.80139663421367,0.0121327209472656,0.4859375,0.484375,0.4628125,1,1,1
"9",9,99.601875,12.3398338805503,0.829615849183999,0.0125101280212402,0.484375,0.4871875,0.4509375,1,1,1
"10",10,99.735625,12.5623323170732,0.809732804874106,0.0125653123855591,0.484375,0.4975,0.4490625,1,1,1
"11",11,99.75125,12.9061898061288,0.816048822024619,0.0130023550987244,0.4896875,0.498125,0.461875,1,1,1
"12",12,99.86125,12.4860522201376,0.81174240825817,0.0120434987545013,0.4928125,0.4871875,0.4659375,1,1,1
"13",13,99.883125,12.9250433864916,0.7831096404193,0.0141088838130236,0.503125,0.4890625,0.4684375,1,1,1
"14",14,99.851875,12.2788582707942,0.837569953566586,0.0153265529498458,0.5084375,0.4815625,0.4621875,1,1,1
"15",15,99.7575,13.0105753595998,0.803227734594122,0.0154443984711543,0.514375,0.48125,0.4703125,1,1,1
"16",16,99.675,13.0062539086929,0.822960523152378,0.0152427409554366,0.515,0.476875,0.4603125,1,1,1
"17",17,99.72,13.3974734208881,0.791516513432568,0.0177651943921228,0.5134375,0.47625,0.4578125,1,1,1
"18",18,99.793125,12.9146493902439,0.810419009033033,0.0176074940791295,0.5096875,0.4828125,0.46625,1,1,1
"19",19,99.695625,13.2825324421513,0.834311521874605,0.0180523859858658,0.50875,0.5053125,0.464375,1,1,1
"20",20,99.895,13.4748968105066,0.822113804837569,0.0174340091931481,0.5121875,0.503125,0.4640625,1,1,1
"21",21,99.733125,13.1813911038149,0.826125200013961,0.0189230682413597,0.5203125,0.5015625,0.4625,1,1,1
"22",22,99.766875,12.7942741557223,0.814833993632884,0.0184541870275592,0.5209375,0.4846875,0.4540625,1,1,1
"23",23,99.651875,12.8199464509068,0.803586231599073,0.0197840017871376,0.5140625,0.493125,0.4490625,1,1,1
"24",24,99.72375,13.784801438399,0.807425495014665,0.0201356607831938,0.499375,0.49125,0.450625,1,1,1
"25",25,99.704375,13.851888289556,0.838351867088921,0.0207988106362261,0.5115625,0.48875,0.445625,1,1,1
"26",26,99.72625,13.4472154471545,0.806989178613854,0.0199879932714034,0.5053125,0.485625,0.4465625,1,1,1
"27",27,99.67875,13.0837257661038,0.866670028539673,0.0218345195851643,0.52,0.488125,0.4546875,1,1,1
"28",28,99.773125,12.9159752188868,0.823307523785317,0.0224768142723925,0.5271875,0.489375,0.45,1,1,1
"29",29,99.78375,12.5348202001251,0.827309442327695,0.0229178060463878,0.5215625,0.4896875,0.4325,1,1,1
"30",30,99.760625,13.1402872889306,0.819462580750001,0.0224052592758917,0.52,0.4909375,0.4503125,1,1,1
"31",31,99.728125,13.0636237492183,0.833325259802869,0.0225813772480732,0.516875,0.5034375,0.4509375,1,1,1
"32",32,99.754375,13.7263723420888,0.832014168641771,0.0225153089716787,0.516875,0.5059375,0.45,1,1,1
"33",33,99.87125,13.2704674796748,0.805507110153867,0.0227806308571829,0.504375,0.505625,0.4590625,1,1,1
"34",34,99.783125,12.5176637742339,0.832339641627742,0.0238669405191829,0.505,0.5071875,0.4575,1,1,1
"35",35,99.73875,12.3444637273296,0.788425814693119,0.0232057960608386,0.5078125,0.5215625,0.4590625,1,1,1
"36",36,99.755625,12.4924636491557,0.808697576547011,0.0234184211863964,0.50625,0.52125,0.4609375,1,1,1
"37",37,99.6525,11.960469043152,0.829103875127518,0.0238514815502161,0.504375,0.5265625,0.45875,1,1,1
"38",38,99.654375,12.7466350062539,0.808963947155117,0.0244216364846721,0.49,0.5240625,0.4596875,1,1,1
"39",39,99.506875,12.5115224358974,0.810447430275263,0.0255679982788268,0.5065625,0.525625,0.4559375,1,1,1
"40",40,99.46,12.841425891182,0.795131746068852,0.0262115859846141,0.50125,0.523125,0.4634375,1,1,1
"41",41,99.3075,12.9547904940588,0.818956191035259,0.0257477440715845,0.50875,0.528125,0.4578125,1,1,1
"42",42,99.21375,12.1431504065041,0.812282188748228,0.0250942941807252,0.4953125,0.5140625,0.443125,1,1,1
