"","gen","FTmean","FTvar","FTh2","IBmean","pA","pB","pC","FisA","FisB","FisC"
"51",51,99.1156,11.9878317727091,0.828399356375497,0.00919118114581,0.4912,0.4714,0.4828,1,1,1
"52",52,99.096,12.2452821128451,0.813088425984021,0.0091276935317789,0.4882,0.4808,0.477,1,1,1
"53",53,99.1168,12.1608220888355,0.834798504597634,0.00953295401259165,0.4918,0.4696,0.4784,1,1,1
"54",54,99.1376,12.0859006002401,0.810476754740482,0.00974590491292763,0.489,0.4548,0.4722,1,1,1
"55",55,99.1056,11.8952067226891,0.829252128202288,0.00980885528551063,0.4856,0.4496,0.4704,1,1,1
"56",56,99.08,12.1976790716287,0.796175106620301,0.0101682395456837,0.4712,0.4422,0.4716,1,1,1
"57",57,99.26,12.0364145658263,0.815245187672463,0.0102551080266411,0.4748,0.4526,0.4682,1,1,1
"58",58,99.1148,12.8451590236094,0.827245702564648,0.0103592344507738,0.483,0.4594,0.474,1,1,1
"59",59,99.0836,12.6664776310524,0.816401948198658,0.0105433145791851,0.4854,0.456,0.4676,1,1,1
"60",60,99.2384,12.1144112044818,0.823671558605492,0.010655042068058,0.479,0.4556,0.4702,1,1,1
"61",61,99.1248,11.8171518207283,0.826000706293587,0.0108215852582272,0.4806,0.4358,0.4828,1,1,1
"62",62,99.008,11.9431132452981,0.81643919554618,0.0110914975583631,0.4728,0.4402,0.4736,1,1,1
"63",63,98.9156,12.651937414966,0.802227405928109,0.0112519011710603,0.4826,0.441,0.479,1,1,1
"64",64,98.8992,12.5556616246499,0.812636158800439,0.0114895964846102,0.4878,0.4276,0.4806,1,1,1
"65",65,98.9176,12.631062665066,0.819868177138434,0.011817310078781,0.4818,0.4362,0.4814,1,1,1
"66",66,98.9816,12.5742911564626,0.806985890811417,0.0118571601218791,0.4626,0.4414,0.4768,1,1,1
"67",67,98.9896,12.4624768307323,0.818334307654662,0.0119645552801876,0.4686,0.4492,0.4742,1,1,1
"68",68,99.0208,12.4029285314126,0.806604478752233,0.0121967699219054,0.4626,0.4454,0.474,1,1,1
"69",69,99.036,12.0419207683073,0.844314393229468,0.0124841593578877,0.467,0.4528,0.4748,1,1,1
"70",70,99.1072,11.776418727491,0.825163507961108,0.0126141856414802,0.4616,0.4632,0.474,1,1,1
"71",71,99.3056,12.5420254501801,0.791711666236835,0.0126035423942891,0.4648,0.4734,0.4684,1,1,1
"72",72,99.276,12.5640496198479,0.787193705498134,0.0128428318269923,0.461,0.469,0.479,1,1,1
"73",73,99.49,12.5301120448179,0.808576238113867,0.0131433520417773,0.4628,0.4606,0.484,1,1,1
"74",74,99.4592,12.536549979992,0.804253042461989,0.0137318898273825,0.4676,0.447,0.4848,1,1,1
"75",75,99.41,11.8986594637855,0.800612831787723,0.0134841109545332,0.4612,0.442,0.4894,1,1,1
"76",76,99.3968,12.5715783913565,0.808001524198795,0.0136638372885292,0.4642,0.4416,0.4908,1,1,1
"77",77,99.3772,12.0653462985194,0.807265798724887,0.0137710821765668,0.4728,0.4468,0.4848,1,1,1
"78",78,99.3648,12.4070837935174,0.800992078051785,0.0140660106948064,0.4788,0.448,0.4822,1,1,1
"79",79,99.3532,11.8243795118047,0.826232211469522,0.0144990811937956,0.4822,0.4572,0.4788,1,1,1
"80",80,99.3112,12.6154007202881,0.789064620876132,0.0144133159478379,0.4978,0.4504,0.4758,1,1,1
"81",81,99.164,12.0715326130452,0.811856016357076,0.0145822733647253,0.4886,0.4394,0.4718,1,1,1
"82",82,99.2284,12.3187609443778,0.826652259801883,0.0145938916758227,0.4806,0.4376,0.4766,1,1,1
"83",83,99.1652,12.2828220888355,0.810514561756451,0.0148473773784569,0.4886,0.4346,0.474,1,1,1
"84",84,99.0588,12.7588460984394,0.783445012551673,0.0151755869973559,0.4968,0.4334,0.4734,1,1,1
