"","gen","FTmean","FTvar","FTh2","IBmean","pA","pB","pC","FisA","FisB","FisC"
"1",1,99.3636,12.1826681072429,0.808465096321739,0,0.5022,0.5006,0.4908,1,1,1
"2",2,99.31,12.1171468587435,0.787325228073941,0,0.5088,0.4918,0.4876,1,1,1
"3",3,99.2404,12.1258581832733,0.832754514578385,1e-04,0.515,0.507,0.476,1,1,1
"4",4,99.2564,11.9674460184074,0.839310334468916,0.0003875,0.5232,0.5022,0.4754,1,1,1
"5",5,99.228,12.0264265706283,0.805680647260734,0.000728125,0.5294,0.5102,0.4816,1,1,1
"6",6,99.272,12.9039775910364,0.808531338070099,0.00070390625,0.538,0.5012,0.482,1,1,1
"7",7,99.4088,12.1801546218487,0.809462886091738,0.0010396484375,0.5328,0.5062,0.4812,1,1,1
"8",8,99.3768,12.1084651460584,0.826147376237904,0.00122734375,0.5278,0.5128,0.482,1,1,1
"9",9,99.3812,12.6849605442177,0.818826303442891,0.00142119140625,0.5288,0.4972,0.4818,1,1,1
"10",10,99.3864,13.0367097238896,0.807333479981127,0.00171955871582031,0.5364,0.495,0.4912,1,1,1
"11",11,99.2628,12.5771670268107,0.813150391460603,0.00198580703735352,0.531,0.4868,0.4964,1,1,1
"12",12,99.3352,12.1869157262905,0.832655955870304,0.00211904430389404,0.5382,0.4842,0.4944,1,1,1
"13",13,99.2788,12.0698985194078,0.806691013666148,0.00239743504524231,0.5418,0.4804,0.5024,1,1,1
"14",14,99.3424,12.4333355742297,0.804834938573532,0.00251379836797714,0.5446,0.4748,0.5072,1,1,1
"15",15,99.2268,12.4955599839936,0.811000372492454,0.00318336386084557,0.5498,0.478,0.5032,1,1,1
"16",16,99.2148,12.5912974789916,0.801016209026704,0.00282151639685035,0.5352,0.4818,0.4946,1,1,1
"17",17,99.2044,12.2507209283713,0.803805521032031,0.00346064253374934,0.5312,0.4684,0.4828,1,1,1
"18",18,99.2484,11.9114620248099,0.825007623608516,0.00314165264647454,0.5318,0.4704,0.4828,1,1,1
"19",19,99.2336,12.2111154861945,0.806784217644958,0.00323995001913281,0.5288,0.4684,0.4804,1,1,1
"20",20,99.1136,12.3144208083233,0.811439946768117,0.00398849767773645,0.5228,0.4586,0.4784,1,1,1
"21",21,99.1504,11.8557221288515,0.80350411261859,0.00381994647750907,0.5132,0.4632,0.4676,1,1,1
"22",22,99.0188,12.2697544617847,0.808799799612006,0.00412148783784596,0.5154,0.4692,0.47,1,1,1
"23",23,98.9948,11.9835663865546,0.805540349768846,0.00428247634139811,0.5142,0.484,0.4748,1,1,1
"24",24,98.9168,11.9978769107643,0.784958139052373,0.00481572398819507,0.5148,0.4818,0.4742,1,1,1
"25",25,98.8912,12.3531038015206,0.792747010936662,0.00478540027273034,0.4892,0.4776,0.4626,1,1,1
"26",26,98.9784,12.3460718687475,0.806112019480765,0.00562618737840004,0.48,0.474,0.4718,1,1,1
"27",27,99.132,12.5972148859544,0.779299704832588,0.00523504666993924,0.4708,0.4716,0.4764,1,1,1
"28",28,99.07,11.3304321728691,0.802944952718989,0.00541292418526773,0.469,0.473,0.4734,1,1,1
"29",29,99.1836,12.2003711884754,0.814792992541939,0.00533625958275953,0.474,0.4682,0.475,1,1,1
"30",30,99.1564,12.136793757503,0.811265533691636,0.00605844957722448,0.4794,0.4682,0.4696,1,1,1
"31",31,99.0728,11.9322730692277,0.812979795424291,0.00558032739528354,0.4858,0.4664,0.4714,1,1,1
"32",32,99.0336,12.3053931972789,0.807770769728181,0.00576029669775452,0.4846,0.4774,0.4704,1,1,1
