"","gen","FTmean","FTvar","FTh2","IBmean","pA","pB","pC","FisA","FisB","FisC"
"1",1,99.5,12.5430172068828,0.807221617482852,0,0.4982,0.5064,0.4984,1,1,1
"2",2,99.434,15.2157302921168,0.845235678100027,0,0.5016,0.5052,0.509,1,1,1
"3",3,99.3564,16.9057413365346,0.855503516856247,3e-04,0.4968,0.5032,0.5068,1,1,1
"4",4,99.4192,18.2227604641857,0.853256206925847,0.000675,0.5056,0.5086,0.4952,1,1,1
"5",5,99.6592,19.6413118847539,0.873366388421605,0.000953125,0.503,0.5044,0.49,1,1,1
"6",6,99.5852,20.3916976390556,0.883059634992879,0.0012125,0.5032,0.513,0.4876,1,1,1
"7",7,99.5908,20.4515359743898,0.895338863786204,0.0012611328125,0.4988,0.5046,0.476,1,1,1
"8",8,99.4784,21.6277845538215,0.886553913605892,0.001384765625,0.4868,0.5026,0.475,1,1,1
"9",9,99.5548,22.2775079631853,0.887376362125331,0.001619677734375,0.4852,0.5172,0.478,1,1,1
"10",10,99.6072,22.8756584233693,0.903906972388389,0.00210659484863281,0.4864,0.5232,0.4808,1,1,1
"11",11,99.6136,24.2179822328932,0.907671687068136,0.00205904083251953,0.4896,0.5192,0.4874,1,1,1
"12",12,99.4816,24.956444017607,0.887719328581457,0.00206669387817383,0.4832,0.5286,0.4836,1,1,1
"13",13,99.4676,25.6344040016006,0.903319711412994,0.00243019647598267,0.4736,0.5336,0.4896,1,1,1
"14",14,99.5424,25.24389979992,0.903992653308517,0.0024837650179863,0.4712,0.5432,0.4874,1,1,1
"15",15,99.6516,25.2771282913165,0.909714044983063,0.00271494153439999,0.4732,0.5398,0.4888,1,1,1
"16",16,99.64,25.7703081232493,0.89207701863354,0.00306518302559853,0.4756,0.5324,0.4902,1,1,1
"17",17,99.6528,24.4204203281313,0.938393609882154,0.0033358084121719,0.4626,0.5446,0.4858,1,1,1
"18",18,99.5708,24.6316400160064,0.908036265324972,0.00355152436248027,0.4652,0.546,0.4998,1,1,1
"19",19,99.504,25.0528051220488,0.911886831751614,0.00355683230458526,0.4756,0.5436,0.5104,1,1,1
"20",20,99.556,26.480656262505,0.900579613256696,0.00400907472930267,0.4856,0.5402,0.5152,1,1,1
"21",21,99.5928,26.5784195278111,0.896563029505878,0.00400816704185709,0.493,0.533,0.5124,1,1,1
"22",22,99.532,27.2014565826331,0.898428832107124,0.00426368025251795,0.4938,0.528,0.511,1,1,1
"23",23,99.5272,27.9668468987595,0.92048155159717,0.0046729157122968,0.484,0.5384,0.5194,1,1,1
"24",24,99.5236,28.3071659063625,0.926590064941214,0.00495043434468271,0.4788,0.5322,0.5178,1,1,1
"25",25,99.5476,29.2122191276511,0.904019317695881,0.00503688403400843,0.4866,0.5194,0.516,1,1,1
"26",26,99.4968,29.3761402160864,0.906162062875438,0.00511545086775467,0.4984,0.5214,0.5126,1,1,1
"27",27,99.5676,28.2935476590636,0.923465526529141,0.005348022289422,0.4866,0.5124,0.5166,1,1,1
"28",28,99.6976,28.9345280512205,0.911696544591981,0.00550687052886134,0.4878,0.511,0.5144,1,1,1
"29",29,99.8132,27.8126308123249,0.913017275363577,0.00563944353523884,0.4852,0.506,0.5086,1,1,1
"30",30,99.7068,27.3861882352941,0.932824800105013,0.0057517718673248,0.4846,0.4976,0.5168,1,1,1
"31",31,99.7484,28.116343977591,0.90033669564819,0.00600814571356206,0.4948,0.4888,0.5144,1,1,1
"32",32,99.6004,27.5405360544218,0.914020445915631,0.0063572044664262,0.4876,0.4896,0.515,1,1,1
"33",33,99.7636,28.539931012405,0.893240160739891,0.00651681063065064,0.49,0.4866,0.5172,1,1,1
"34",34,99.7892,28.1176104041617,0.912819201523338,0.0069948097798328,0.4886,0.4854,0.5314,1,1,1
"35",35,99.8296,28.511968627451,0.910794477811987,0.0068730336997678,0.5014,0.4802,0.5382,1,1,1
"36",36,99.808,27.9062985194078,0.914134673514408,0.00720896396396697,0.5066,0.473,0.5494,1,1,1
"37",37,100.0092,28.9446932372949,0.920313454969752,0.00738567384678833,0.511,0.4594,0.5488,1,1,1
"38",38,99.8016,29.0770682673069,0.930881150364685,0.00785256084671689,0.5162,0.4618,0.5366,1,1,1
